DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_25, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_778B2FB149287F27ECF2B2A529693BE3, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.183824, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_26, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_39166B28A2C6A47EFBE447B0364F1E89, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.155956, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_26, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_0628C3374F6A0EEC56A56D8FA51312BA, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.160843, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_27, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_78F3B15540F35AB6B3F16855F9C2ACEB, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.167198, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_27, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_87C7B5AD437E11EA0822C190383E1A91, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.154980, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_28, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_E30E8EDBAA8CE665A925841A5C70B4D3, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.136886, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_28, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_DF22358B4383626516D9A1ADB65333C9, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.145201, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_29, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B94EFD10E5C250E3B71347A9442C02E4, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.133466, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_29, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_64DF1C21492690468A259E99275FC411, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.164758, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_30, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_9A752A812FD26532479C7DFC27F71340, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.167198, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_30, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_C06E037C49687CD674595E8C52A8D44A, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.154000, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
